Date ,Paddock,Transect ,Distance,GroundCover,Species 1,H1 ,Species 2,H2,Species 3,H3
12/22/2016,1,3,15,1,Enteropogon acicularis ,0.05,Austrostipa bigeniculata,0.1,,
12/22/2016,1,3,16,1,Austrostipa bigeniculata,0.2,Austrostipa bigeniculata,0.9,,
12/22/2016,1,3,17,1,Austrostipa bigeniculata,0.2,,,,
12/22/2016,1,3,18,1,Austrostipa bigeniculata,0.1,Austrostipa bigeniculata,0.4,,
12/22/2016,1,3,19,1,Enteropogon acicularis ,0.1,Austrostipa bigeniculata,0.4,,
12/22/2016,1,3,20,1,Austrostipa bigeniculata,0.1,Austrostipa bigeniculata,0.3,,
12/22/2016,1,3,21,1,Enteropogon acicularis ,0.1,Austrostipa bigeniculata,0.3,Austrostipa bigeniculata,0.5
12/22/2016,1,3,22,1,Austrostipa bigeniculata,0.1,,,,
12/22/2016,1,3,23,1,,,,,,
12/22/2016,1,3,24,1,Austrostipa bigeniculata,0.2,Austrostipa bigeniculata,0.3,,
12/22/2016,1,3,25,1,Enteropogon acicularis ,0.1,Austrostipa bigeniculata,0.4,,
12/22/2016,1,3,26,1,Austrostipa bigeniculata,0.2,Austrostipa bigeniculata,0.5,,
12/22/2016,1,3,27,2,Austrostipa bigeniculata,0.3,,,,
12/22/2016,1,3,28,1,Austrostipa bigeniculata,0.2,Austrostipa bigeniculata,0.5,,
12/22/2016,1,3,29,1,,,,,,
12/22/2016,1,3,30,1,Rytidosperma caesitosum,0.2,Austrostipa bigeniculata,0.3,,
12/22/2016,1,3,31,1,Enteropogon acicularis ,0.05,,,,
12/22/2016,1,3,32,1,Enteropogon acicularis ,0.2,Austrostipa bigeniculata,0.4,,
12/22/2016,1,3,33,1,Enteropogon acicularis ,0.1,Austrostipa bigeniculata,0.3,,
12/22/2016,1,3,34,1,Austrostipa bigeniculata,0.2,Austrostipa bigeniculata,0.4,,
12/22/2016,1,3,35,2,Austrostipa bigeniculata,0.1,Austrostipa bigeniculata,0.5,,
12/22/2016,1,3,36,1,Enteropogon acicularis ,0.05,Austrostipa bigeniculata,0.2,,
12/22/2016,1,3,37,1,Austrostipa bigeniculata,0.1,,,,
12/22/2016,1,3,38,1,Austrostipa bigeniculata,0.1,Austrostipa bigeniculata,0.3,,
12/22/2016,1,3,39,1,Rytidosperma caesitosum,0.05,Austrostipa bigeniculata,0.1,,
12/22/2016,1,3,40,1,Enteropogon acicularis ,0.05,Austrostipa bigeniculata,0.2,,
12/22/2016,1,3,41,1,Austrostipa bigeniculata,0.05,,,,
12/22/2016,1,3,42,1,Enteropogon acicularis ,0.05,,,,
12/22/2016,1,3,43,1,Enteropogon acicularis ,0.01,Austrostipa bigeniculata,0.05,Austrostipa bigeniculata,0.6
12/22/2016,1,3,44,1,,,,,,
12/22/2016,1,3,45,1,Austrostipa bigeniculata,0.2,Enteropogon acicularis ,0.2,,
12/22/2016,1,3,46,4,Enteropogon acicularis ,0.05,,,,
12/22/2016,1,3,47,1,Enteropogon acicularis ,0.05,,,,
12/22/2016,1,3,48,2,,,,,,
12/22/2016,1,3,49,1,Enteropogon acicularis ,0.05,Austrostipa bigeniculata,0.3,,
12/22/2016,1,3,50,1,Enteropogon acicularis ,0.1,Austrostipa bigeniculata,0.3,Austrostipa bigeniculata,0.6
12/22/2016,1,4,1,1,,,,,,
12/22/2016,1,4,2,1,Sida sp.,0.01,,,,
12/22/2016,1,4,3,1,Enteropogon acicularis ,0.1,,,,
12/22/2016,1,4,4,1,Enteropogon acicularis ,0.1,,,,
12/22/2016,1,4,5,1,Enteropogon acicularis ,0.1,,,,
12/22/2016,1,4,6,1,Enteropogon acicularis ,0.1,,,,
12/22/2016,1,4,7,1,,,,,,
12/22/2016,1,4,8,1,,,,,,
12/22/2016,1,4,9,1,Enteropogon acicularis ,0.1,,,,
12/22/2016,1,4,10,1,,,,,,
12/22/2016,1,4,11,1,,,,,,
12/22/2016,1,4,12,1,Monachather paradoxus ,0.1,Enteropogon acicularis ,0.2,,
12/22/2016,1,4,13,1,Sida sp.,,,,,
12/22/2016,1,4,14,1,,,,,,
12/22/2016,1,4,15,1,,,,,,
12/22/2016,1,4,16,5,Enteropogon acicularis ,0.01,,,,
12/22/2016,1,4,17,1,Enteropogon acicularis ,0.05,,,,
12/22/2016,1,4,18,1,Enteropogon acicularis ,0.1,,,,
12/22/2016,1,4,19,1,Enteropogon acicularis ,0.05,,,,
12/22/2016,1,4,20,1,,,,,,
12/22/2016,1,4,21,1,Enteropogon acicularis ,0.05,,,,
12/22/2016,1,4,22,1,,,,,,
12/22/2016,1,4,23,1,Solanum sp.,0.05,,,,
12/22/2016,1,4,24,1,Enteropogon acicularis ,0.05,,,,
12/22/2016,1,4,25,1,,,,,,
12/22/2016,1,4,26,1,Enteropogon acicularis ,0.1,,,,
12/22/2016,1,4,27,1,,,,,,
12/22/2016,1,4,28,1,,,,,,
12/22/2016,1,4,29,1,Enteropogon acicularis ,0.05,,,,
12/22/2016,1,4,30,1,,,,,,
12/22/2016,1,4,31,1,,,,,,
12/22/2016,1,4,32,1,Enteropogon acicularis ,0.05,,,,
12/22/2016,1,4,33,1,Enteropogon acicularis ,0.05,,,,
12/22/2016,1,4,34,1,Enteropogon acicularis ,0.05,,,,
12/22/2016,1,4,35,1,Enteropogon acicularis ,0.1,,,,
12/22/2016,1,4,36,1,Enteropogon acicularis ,0.1,,,,
12/22/2016,1,4,37,1,Enteropogon acicularis ,0.1,,,,
12/22/2016,1,4,38,1,Enteropogon acicularis ,0.1,,,,
12/22/2016,1,4,39,1,Enteropogon acicularis ,0.1,,,,
12/22/2016,1,4,40,1,Enteropogon acicularis ,0.05,,,,
12/22/2016,1,4,41,1,Enteropogon acicularis ,0.1,,,,
12/22/2016,1,4,42,1,Enteropogon acicularis ,0.05,,,,
12/22/2016,1,4,43,1,,,,,,
12/22/2016,1,4,44,1,Enteropogon acicularis ,0.05,,,,
12/22/2016,1,4,45,1,,,,,,
12/22/2016,1,4,46,1,,,,,,
12/22/2016,1,4,47,1,,,,,,
12/22/2016,1,4,48,1,,,,,,
12/22/2016,1,4,49,1,,,,,,
12/22/2016,1,4,50,1,,,,,,
12/23/2016,2,5,1,2,Sclerolaena birchii ,0.4,,,,
12/23/2016,2,5,2,2,,,,,,
12/23/2016,2,5,3,2,Sclerolaena birchii ,0.05,,,,
12/23/2016,2,5,4,2,,,,,,
12/23/2016,2,5,5,1,ISC,,,,,
12/23/2016,2,5,6,1,Casurina pauper ,8,,,,
12/23/2016,2,5,7,2,Casurina pauper ,10,,,,
12/23/2016,2,5,8,1,Casurina pauper ,10,Casurina pauper ,12,,
12/23/2016,2,5,9,1,Rytidosperma caesitosum,0.1,Casurina pauper ,10,,
12/23/2016,2,5,10,1,Enteropogon acicularis ,0.05,Casurina pauper ,10,Casurina pauper ,12
12/23/2016,2,5,11,1,Casurina pauper ,10,Casurina pauper ,12,,
12/23/2016,2,5,12,1,ISC,,,,,
12/23/2016,2,5,13,1,ISC,,,,,
12/23/2016,2,5,14,1,Rytidosperma caesitosum,0.2,,,,
12/23/2016,2,5,15,1,,,,,,
12/23/2016,2,5,16,1,Rytidosperma caesitosum,0.1,Sclerolaena birchii ,0.3,,
12/23/2016,2,5,17,1,ISC,,,,,
12/23/2016,2,5,18,1,ISC,,,,,
12/23/2016,2,5,19,1,Casurina pauper ,10,,,,
12/23/2016,2,5,20,2,Enteropogon acicularis ,0.1,Casurina pauper ,10,,
12/23/2016,2,5,21,1,Casurina pauper ,8,,,,
12/23/2016,2,5,22,1,Casurina pauper ,20,,,,
12/23/2016,2,5,23,1,Casurina pauper ,14,,,,
12/23/2016,2,5,24,1,Rytidosperma caesitosum,0.1,Casurina pauper ,10,,
12/23/2016,2,5,25,1,Casurina pauper ,8,,,,
12/23/2016,2,5,26,1,Rytidosperma caesitosum,0.05,Casurina pauper ,15,,
12/23/2016,2,5,27,1,ISC,,,,,
12/23/2016,2,5,28,1,ISC,,,,,
12/23/2016,2,5,29,1,Casurina pauper ,8,,,,
12/23/2016,2,5,30,1,Rytidosperma caesitosum,0.05,Casurina pauper ,8,,
12/23/2016,2,5,31,5,,,,,,
12/23/2016,2,5,32,1,ISC,,,,,
12/23/2016,2,5,33,1,Casurina pauper ,8,,,,
12/23/2016,2,5,34,1,Casurina pauper ,8,,,,
12/23/2016,2,5,35,1,Casurina pauper ,10,,,,
12/23/2016,2,5,36,1,Rytidosperma caesitosum,0.05,Sclerolaena birchii ,0.3,Casurina pauper ,4
12/23/2016,2,5,37,2,Rytidosperma caesitosum,0.05,Casurina pauper ,5,,
12/23/2016,2,5,38,1,Rytidosperma caesitosum,0.05,Casurina pauper ,15,,
12/23/2016,2,5,39,2,Casurina pauper ,0.1,,,,
12/23/2016,2,5,40,1,Enteropogon acicularis ,0.05,Casurina pauper ,15,,
12/23/2016,2,5,41,1,ISC,,,,,
12/23/2016,2,5,42,1,Enteropogon acicularis ,0.05,,,,
12/23/2016,2,5,43,2,,,,,,
12/23/2016,2,5,44,5,,,,,,
12/23/2016,2,5,45,5,,,,,,
12/23/2016,2,5,46,2,,,,,,
12/23/2016,2,5,47,1,,,,,,
12/23/2016,2,5,48,1,,,,,,
12/23/2016,2,5,49,1,,,,,,
12/23/2016,2,5,50,2,,,,,,
12/23/2016,2,6,1,2,,,,,,
12/23/2016,2,6,2,5,Enteropogon acicularis ,0.1,,,,
12/23/2016,2,6,3,2,Enteropogon acicularis ,0.1,,,,
12/23/2016,2,6,4,1,ISC,,,,,
12/23/2016,2,6,5,1,Casurina pauper ,8,,,,
12/23/2016,2,6,6,1,Enteropogon acicularis ,0.2,Casurina pauper ,8,,
12/23/2016,2,6,7,1,Casurina pauper ,4,,,,
12/23/2016,2,6,8,1,Casurina pauper ,2,,,,
12/23/2016,2,6,9,1,Casurina pauper ,2,,,,
12/23/2016,2,6,10,1,Casurina pauper ,2,,,,
12/23/2016,2,6,11,1,Enteropogon acicularis ,0.1,Casurina pauper ,10,,
12/23/2016,2,6,12,2,Casurina pauper ,10,,,,
12/23/2016,2,6,13,1,Enteropogon acicularis ,10,Casurina pauper ,10,,
12/23/2016,2,6,14,5,Casurina pauper ,10,,,,
12/23/2016,2,6,15,1,Casurina pauper ,3,,,,
12/23/2016,2,6,16,1,Enteropogon acicularis ,0.1,Casurina pauper ,2,,
12/23/2016,2,6,17,1,Casurina pauper ,8,,,,
12/23/2016,2,6,18,1,Casurina pauper ,8,,,,
12/23/2016,2,6,19,1,Casurina pauper ,8,,,,
12/23/2016,2,6,20,5,ISC,,,,,
12/23/2016,2,6,21,1,Enteropogon acicularis ,0.05,,,,
12/23/2016,2,6,22,1,,,,,,
12/23/2016,2,6,23,2,,,,,,
12/23/2016,2,6,24,2,,,,,,
12/23/2016,2,6,25,1,,,,,,
12/23/2016,2,6,26,4,,,,,,
12/23/2016,2,6,27,5,Austrostipa aristiglumis,0.2,,,,
12/23/2016,2,6,28,2,,,,,,
12/23/2016,2,6,29,1,Enteropogon acicularis ,0.05,,,,
12/23/2016,2,6,30,1,Enteropogon acicularis ,0.05,ISC,,,
12/23/2016,2,6,31,1,Casurina pauper ,8,,,,
12/23/2016,2,6,32,1,Casurina pauper ,2,,,,
12/23/2016,2,6,33,1,Casurina pauper ,2,,,,
12/23/2016,2,6,34,2,Casurina pauper ,3,,,,
12/23/2016,2,6,35,1,Casurina pauper ,14,,,,
12/23/2016,2,6,36,1,Paspalidium constrictum,0.2,,,,
12/23/2016,2,6,37,1,,,,,,
12/23/2016,2,6,38,1,Enteropogon acicularis ,0.1,,,,
12/23/2016,2,6,39,1,Enteropogon acicularis ,0.05,Casurina pauper ,14,,
12/23/2016,2,6,40,2,Casurina pauper ,14,,,,
12/23/2016,2,6,41,1,,,,,,
12/23/2016,2,6,42,2,,,,,,
12/23/2016,2,6,43,2,,,,,,
12/23/2016,2,6,44,4,,,,,,
12/23/2016,2,6,45,4,Enteropogon acicularis ,0.05,,,,
12/23/2016,2,6,46,1,,,,,,
12/23/2016,2,6,47,2,,,,,,
12/23/2016,2,6,48,1,Tripogon loliiformis,0.01,,,,
12/23/2016,2,6,49,1,Enteropogon acicularis ,0.1,,,,
12/23/2016,2,6,50,1,Cheilanthes sp.,0.01,Enteropogon acicularis ,0.05,,
12/23/2016,2,7,1,1,,,,,,
12/23/2016,2,7,2,1,,,,,,
12/23/2016,2,7,3,1,Enteropogon acicularis ,0.05,,,,
12/23/2016,2,7,4,1,Enteropogon acicularis ,0.1,,,,
12/23/2016,2,7,5,1,Enteropogon acicularis ,0.05,,,,
12/23/2016,2,7,6,1,Enteropogon acicularis ,0.1,,,,
12/23/2016,2,7,7,1,Cheilanthes sp.,0.1,Enteropogon acicularis ,0.2,,
12/23/2016,2,7,8,1,Enteropogon acicularis ,0.05,,,,
12/23/2016,2,7,9,1,,,,,,
12/23/2016,2,7,10,1,,,,,,
12/23/2016,2,7,11,1,,,,,,
12/23/2016,2,7,12,1,Enteropogon acicularis ,0.01,Enteropogon acicularis ,0.2,,
12/23/2016,2,7,13,1,,,,,,
12/23/2016,2,7,14,1,Enteropogon acicularis ,0.2,,,,
12/23/2016,2,7,15,1,Enteropogon acicularis ,0.1,,,,
12/23/2016,2,7,16,1,,,,,,
12/23/2016,2,7,17,1,,,,,,
12/23/2016,2,7,18,1,Enteropogon acicularis ,0.2,,,,
12/23/2016,2,7,19,1,Enteropogon acicularis ,0.2,,,,
12/23/2016,2,7,20,1,Enteropogon acicularis ,0.1,,,,
12/23/2016,2,7,21,1,,,,,,
12/23/2016,2,7,22,1,,,,,,
12/23/2016,2,7,23,1,,,,,,
12/23/2016,2,7,24,1,Enteropogon acicularis ,0.05,,,,
12/23/2016,2,7,25,1,,,,,,
12/23/2016,2,7,26,1,Enteropogon acicularis ,0.1,,,,
12/23/2016,2,7,27,1,,,,,,
12/23/2016,2,7,28,1,Enteropogon acicularis ,0.05,,,,
12/23/2016,2,7,29,1,,,,,,
12/23/2016,2,7,30,1,Enteropogon acicularis ,0.2,,,,
12/23/2016,2,7,31,1,,,,,,
12/23/2016,2,7,32,1,,,,,,
12/23/2016,2,7,33,1,Enteropogon acicularis ,0.2,,,,
12/23/2016,2,7,34,1,,,,,,
12/23/2016,2,7,35,1,Enteropogon acicularis ,0.3,,,,
12/23/2016,2,7,36,1,Enteropogon acicularis ,0.2,,,,
12/23/2016,2,7,37,1,,,,,,
12/23/2016,2,7,38,1,,,,,,
12/23/2016,2,7,39,1,Enteropogon acicularis ,0.1,,,,
12/23/2016,2,7,40,1,,,,,,
12/23/2016,2,7,41,1,Enteropogon acicularis ,0.2,,,,
12/23/2016,2,7,42,1,Enteropogon acicularis ,0.1,,,,
12/23/2016,2,7,43,1,,,,,,
12/23/2016,2,7,44,1,Enteropogon acicularis ,0.05,,,,
12/23/2016,2,7,45,1,Enteropogon acicularis ,0.1,,,,
12/23/2016,2,7,46,1,Enteropogon acicularis ,0.2,,,,
12/23/2016,2,7,47,1,,,,,,
12/23/2016,2,7,48,1,Enteropogon acicularis ,0.1,,,,
12/23/2016,2,7,49,1,,,,,,
12/23/2016,2,7,50,1,,,,,,
12/23/2016,2,8,1,1,Juncus subsecundus,0.1,,,,
12/23/2016,2,8,2,1,,,,,,
12/23/2016,2,8,3,5,,,,,,
12/23/2016,2,8,4,1,Juncus subsecundus,0.2,,,,
12/23/2016,2,8,5,1,Enteropogon acicularis ,0.2,,,,
12/23/2016,2,8,6,1,Paspalidium constrictum,0.1,,,,
12/23/2016,2,8,7,1,,,,,,
12/23/2016,2,8,8,1,Medicargo polymorpha,0.1,,,,
12/23/2016,2,8,9,1,Juncus subsecundus,0.2,,,,
12/23/2016,2,8,10,1,,,,,,
12/23/2016,2,8,11,1,Juncus subsecundus,0.05,,,,
12/23/2016,2,8,12,1,,,,,,
12/23/2016,2,8,13,1,,,,,,
12/23/2016,2,8,14,1,Medicargo polymorpha,0.05,,,,
12/23/2016,2,8,15,1,Medicargo polymorpha,0.05,,,,
12/23/2016,2,8,16,1,Enteropogon acicularis ,0.1,,,,
12/23/2016,2,8,17,1,Medicargo polymorpha,0.05,Enteropogon acicularis ,0.1,,
12/23/2016,2,8,18,1,,,,,,
12/23/2016,2,8,19,1,,,,,,
12/23/2016,2,8,20,1,,,,,,
12/23/2016,2,8,21,1,,,,,,
12/23/2016,2,8,22,1,,,,,,
12/23/2016,2,8,23,1,Enteropogon acicularis ,0.05,,,,
12/23/2016,2,8,24,1,Medicargo polymorpha,0.05,,,,
12/23/2016,2,8,25,1,Medicargo polymorpha,0.05,,,,
12/23/2016,2,8,26,1,Enteropogon acicularis ,0.1,,,,
12/23/2016,2,8,27,1,Medicargo polymorpha,0.1,Enteropogon acicularis ,0.2,,
12/23/2016,2,8,28,1,,,,,,
12/23/2016,2,8,29,1,Enteropogon acicularis ,0.1,,,,
12/23/2016,2,8,30,1,,,,,,
12/23/2016,2,8,31,1,,,,,,
12/23/2016,2,8,32,1,,,,,,
12/23/2016,2,8,33,1,Enteropogon acicularis ,0.05,,,,
12/23/2016,2,8,34,1,Enteropogon acicularis ,0.05,,,,
12/23/2016,2,8,35,1,,,,,,
12/23/2016,2,8,36,1,,,,,,
12/23/2016,2,8,37,1,Enteropogon acicularis ,0.05,,,,
12/23/2016,2,8,38,1,,,,,,
12/23/2016,2,8,39,1,Enteropogon acicularis ,0.2,,,,
12/23/2016,2,8,40,1,Enteropogon acicularis ,0.1,,,,
12/23/2016,2,8,41,1,,,,,,
12/23/2016,2,8,42,1,Enteropogon acicularis ,0.2,Medicargo polymorpha,0.1,,
12/23/2016,2,8,43,1,,,,,,
12/23/2016,2,8,44,1,Medicargo polymorpha,0.05,,,,
12/23/2016,2,8,45,1,Enteropogon acicularis ,0.1,,,,
12/23/2016,2,8,46,1,Enteropogon acicularis ,0.1,,,,
12/23/2016,2,8,47,1,Enteropogon acicularis ,0.05,,,,
12/23/2016,2,8,48,1,,,,,,
12/23/2016,2,8,49,1,,,,,,
12/23/2016,2,8,50,1,Unknown herb,0.1,,,,
12/21/2016,3,9,1,1,Eucalyptus sp.,10,Eucalyptus sp.,15,,
12/21/2016,3,9,2,1,Paspalidium constrictum,0.1,ISC,,,
12/21/2016,3,9,3,1,ISC,,,,,
12/21/2016,3,9,4,1,Eucalyptus sp.,10,Eucalyptus sp.,18,,
12/21/2016,3,9,5,1,ISC,,,,,
12/21/2016,3,9,6,1,Austrostipa bigeniculata,0.01,ISC,,,
12/21/2016,3,9,7,1,ISC,,,,,
12/21/2016,3,9,8,1,Austrostipa bigeniculata,0.3,,,,
12/21/2016,3,9,9,1,Austrostipa bigeniculata,0.4,Austrostipa bigeniculata,1.5,Eucalyptus sp.,15
12/21/2016,3,9,10,1,ISC,,,,,
12/21/2016,3,9,11,1,Paspalidium constrictum,0.05,Eucalyptus sp.,15,,
12/21/2016,3,9,12,1,Austrostipa bigeniculata,0.3,Eucalyptus sp.,10,,
12/21/2016,3,9,13,1,Austrostipa bigeniculata,0.5,Eucalyptus sp.,8,,
12/21/2016,3,9,14,1,Einadia nutans,0.05,Austrostipa bigeniculata,0.5,Eucalyptus sp.,15
12/21/2016,3,9,15,1,Austrostipa bigeniculata,0.6,Austrostipa bigeniculata,0.1,ISC,
12/21/2016,3,9,16,1,Austrostipa bigeniculata,0.4,Austrostipa bigeniculata,0.6,ISC,
12/21/2016,3,9,17,3,Eucalyptus sp.,14,,,,
12/21/2016,3,9,18,1,Oxalis sp.,0.1,Austrostipa bigeniculata,0.2,ISC,
12/21/2016,3,9,19,3,,,,,,
12/21/2016,3,9,20,2,Eucalyptus sp.,13,,,,
12/21/2016,3,9,21,3,ISC,,,,,
12/21/2016,3,9,22,1,Enteropogon acicularis ,0.1,Austrostipa bigeniculata,0.3,Acaica sp. ,12
12/21/2016,3,9,23,1,Austrostipa bigeniculata,0.5,Acacia sp.,8,,
12/21/2016,3,9,24,1,Austrostipa bigeniculata,0.3,Acacia sp.,8,,
12/21/2016,3,9,25,1,Austrostipa bigeniculata,0.1,Austrostipa bigeniculata,0.5,,
12/21/2016,3,9,26,1,Austrostipa bigeniculata,0.6,,,,
12/21/2016,3,9,27,1,Paspalidium constrictum,0.3,,,,
12/21/2016,3,9,28,1,Austrostipa bigeniculata,0.3,,,,
12/21/2016,3,9,29,1,Paspalidium constrictum,0.1,Acacia sp.,8,,
12/21/2016,3,9,30,1,Chenopodium sp.,0.05,Rytidosperma caesitosum,0.05,Acaica sp. ,3
