Year,field,Transect,Location,replicate,locust,litter,Bareground,CoarseWoddyDebris,Crytpo,Dung,ground,shrub,mid-storey,sub-canopy,canpoy,isc,Predator Abundance,ground_day_temp,ground_day_humid,ground_night_temp,ground_night_humid,above_ground_day_temp,above_ground_day_humid,above_ground_night_temp,above_ground_night_humid,below_ground_day_temp,below_ground_day_humid,below_ground_night_temp,below_ground_night_humid,Plant Carb,Plant Protein,
2017,1,3,3,1,0.347826087,0.68,0.28,0.02,0,0.02,0,0,0,0,0,0,4.5,30.03173333,68.32114074,19.98276543,82.36725926,,,,,,,,,0.20071181,0.19641969,
2017,1,3,3,2,0.147058824,0.68,0.28,0.02,0,0.02,0,0,0,0,0,0,4.5,30.03173333,68.32114074,19.98276543,82.36725926,,,,,,,,,0.20071181,0.19641969,
2017,1,4,4,1,0,0.92,0.08,0,0,0,0,0,0,0,0,0,3,31.27441481,52.17126667,19.11559877,52.89267284,,,,,,,,,0.22484171,0.23259393,
2017,1,4,4,2,1.764705882,0.92,0.08,0,0,0,0,0,0,0,0,0,3,31.27441481,52.17126667,19.11559877,52.89267284,,,,,,,,,0.22484171,0.23259393,
2017,2,5,1,1,0,0.76,0.16,0.08,0,0,0,0,0,0,0,0,7,26.64178616,75.00749864,19.68025926,84.28133333,,,,,,,,,0.15554548,0.19064846,
2017,2,5,1,2,0,0.76,0.16,0.08,0,0,0,0,0,0,0,0,7,26.64178616,75.00749864,19.68025926,84.28133333,,,,,,,,,0.15554548,0.19064846,
2017,2,6,2,1,0,0.64,0.34,0.02,0,0,0,0,0,0,0,0,6,23.8834345,82.87195439,19.4544321,64.84029012,,,,,,,,,0.16357765,0.17667396,
2017,2,6,2,2,0,0.64,0.34,0.02,0,0,0,0,0,0,0,0,6,23.8834345,82.87195439,19.4544321,64.84029012,,,,,,,,,0.16357765,0.17667396,
2017,2,7,3,1,0.839506173,1,0,0,0,0,0,0,0,0,0,0,6,28.78248265,57.94987144,20.59130952,72.04525397,,,,,,,,,0.21166899,0.21261815,
2017,2,7,3,2,0.730434783,1,0,0,0,0,0,0,0,0,0,0,6,28.78248265,57.94987144,20.59130952,72.04525397,,,,,,,,,0.21166899,0.21261815,
2017,2,8,4,1,1.125,1,0,0,0,0,0,0,0,0,0,0,7,25.40439766,91.82502515,18.26520988,95.4629321,,,,,,,,,0.2578766,0.24289688,
2017,2,8,4,2,0.428571429,1,0,0,0,0,0,0,0,0,0,0,7,25.40439766,91.82502515,18.26520988,95.4629321,,,,,,,,,0.2578766,0.24289688,
2017,3,9,1,1,0,0.84,0.1,0.06,0,0,0,0,0,0,0,0,2.25,29.06357778,56.03245556,18.77701852,77.51544444,,,,,,,,,0.23453558,0.16920827,
2017,3,9,1,2,0,0.84,0.1,0.06,0,0,0,0,0,0,0,0,2.25,29.06357778,56.03245556,18.77701852,77.51544444,,,,,,,,,0.23453558,0.16920827,
2017,3,10,2,1,2,0.9,0.06,0.04,0,0,0,0,0,0,0,0,5.333333333,23.21620253,94.24236062,19.53012346,96.15875926,,,,,,,,,0.1788743,0.16645285,
2017,3,10,2,2,0,0.9,0.06,0.04,0,0,0,0,0,0,0,0,5.333333333,23.21620253,94.24236062,19.53012346,96.15875926,,,,,,,,,0.1788743,0.16645285,
2017,3,11,3,1,0.608695652,0.42,0.56,0.02,0,0,0,0,0,0,0,0,5,29.5196076,49.90712476,19.2680679,71.25335185,,,,,,,,,0.16212523,0.11739069,
2017,3,11,3,2,1,0.42,0.56,0.02,0,0,0,0,0,0,0,0,5,29.5196076,49.90712476,19.2680679,71.25335185,,,,,,,,,0.16212523,0.11739069,
2017,3,12,4,1,3.4,0.88,0.12,0,0,0,0,0,0,0,0,0,7.5,26.78801969,75.04775575,18.96231481,81.83710494,,,,,,,,,0.17123905,0.15594223,
2017,3,12,4,2,6.102040816,0.88,0.12,0,0,0,0,0,0,0,0,0,7.5,26.78801969,75.04775575,18.96231481,81.83710494,,,,,,,,,0.17123905,0.15594223,
